time,date,open,high,low,close,signal,ADX,PP,R1,S1,R2,S2,R3,S3,R4,S4,sl_price,sl,tp_price,tp,new_trade,trade_id,open_price,close_price,ctr,margin,summargin,fee,ctrf,SR,DR,ASR,CSR,CMR,y_pred,y_pred_val,y_pred_id,Price_Rise,date_to
1448496000,2015-11-26,0.87,0.91,0.8155,0.86,Sell,55.66202420688051,0.8618333333333333,0.9081666666666667,0.8136666666666666,0.9563333333333334,0.7673333333333333,1.0026666666666668,0.7191666666666666,1.049,0.6709999999999999,,False,0.0,False,True,1448496000.0,0.87,0.86,1.0,0,0,0.0,1.0,1.0,,,1.0,,False,0.98218346,98.0,0,2015-11-27
1448582400,2015-11-27,0.86,0.89,0.86,0.88,Sell,58.25394091849798,0.8766666666666666,0.8933333333333332,0.8633333333333332,0.9066666666666666,0.8466666666666666,0.9233333333333332,0.8333333333333331,0.9399999999999998,0.8199999999999997,0.9563333333333334,False,0.0,False,False,1448496000.0,0.87,0.88,1.0,0,0,0.0,1.0,1.0,1.0232558139534884,,1.0,1.0232558139534884,False,0.9807802,98.0,1,2015-11-28
1448668800,2015-11-28,0.88,0.91,0.88,0.91,Sell,57.24264545779005,0.9,0.92,0.89,0.93,0.87,0.9500000000000001,0.86,0.9700000000000001,0.85,0.9066666666666666,False,0.0,False,False,1448496000.0,0.87,0.91,1.0,0,0,0.0,1.0,1.0,1.0340909090909092,,1.0,1.058139534883721,False,0.9778973,97.0,1,2015-11-29
1448755200,2015-11-29,0.91,0.91,0.85,0.87,Sell,57.72827250350131,0.8766666666666666,0.9033333333333332,0.8433333333333332,0.9366666666666666,0.8166666666666665,0.9633333333333333,0.7833333333333331,0.9899999999999999,0.7499999999999997,0.93,False,0.0,False,False,1448496000.0,0.87,0.87,1.0,0,0,0.0,1.0,1.0,0.956043956043956,,1.0,1.0116279069767442,False,0.9822271,98.0,0,2015-11-30
1448841600,2015-11-30,0.87,0.88,0.8674,0.88,Sell,58.13296170826069,0.8757999999999999,0.8841999999999999,0.8715999999999998,0.8883999999999999,0.8631999999999999,0.8967999999999999,0.8589999999999998,0.9051999999999999,0.8547999999999997,0.9366666666666666,False,0.0,False,False,1448496000.0,0.87,0.88,1.0,0,0,0.0,1.0,1.0,1.0114942528735633,,1.0,1.0232558139534884,False,0.9855481,98.0,1,2015-12-01
1448928000,2015-12-01,0.88,0.8885,0.8423,0.87,Sell,59.58080302320469,0.8669333333333333,0.8915666666666666,0.8453666666666667,0.9131333333333334,0.8207333333333334,0.9377666666666665,0.7991666666666668,0.9623999999999998,0.7776000000000002,0.8883999999999999,False,0.0,False,False,1448496000.0,0.87,0.87,1.0,0,0,0.0,1.0,1.0,0.9886363636363636,,1.0,1.0116279069767442,False,0.9866551,98.0,0,2015-12-02
1449014400,2015-12-02,0.87,0.87,0.8,0.82,Sell,62.18498011040373,0.83,0.8599999999999999,0.7899999999999999,0.8999999999999999,0.76,0.9299999999999998,0.72,0.9599999999999997,0.6799999999999999,0.9131333333333334,False,0.0,False,False,1448496000.0,0.87,0.82,1.0,0,0,0.0,1.0,1.0,0.9425287356321839,,1.0,0.9534883720930233,False,0.98824036,98.0,0,2015-12-03
1449100800,2015-12-03,0.82,0.83,0.7979,0.83,Sell,64.41642460859325,0.8193,0.8407,0.8086000000000001,0.8513999999999999,0.7872000000000001,0.8727999999999999,0.7765000000000002,0.8941999999999999,0.7658000000000003,0.8999999999999999,False,0.0,False,False,1448496000.0,0.87,0.83,1.0,0,0,0.0,1.0,1.0,1.0121951219512195,,1.0,0.9651162790697675,False,0.997813,99.0,1,2015-12-04
1449187200,2015-12-04,0.83,0.84,0.8246,0.84,Sell,63.9894342247885,0.8348666666666666,0.8451333333333333,0.8297333333333333,0.8502666666666665,0.8194666666666667,0.8605333333333333,0.8143333333333334,0.8707999999999999,0.8092,0.8513999999999999,False,0.0,False,False,1448496000.0,0.87,0.84,1.0,0,0,0.0,1.0,1.0,1.0120481927710843,,1.0,0.9767441860465116,False,0.9836632,98.0,1,2015-12-05
1449273600,2015-12-05,0.84,0.8699,0.8351,0.8699,Sell,57.72668841955451,0.8583,0.8815,0.8466999999999999,0.8931,0.8234999999999999,0.9163,0.8118999999999998,0.9395,0.8002999999999998,0.8502666666666665,False,0.0,False,False,1448496000.0,0.87,0.8699,1.0,0,0,0.0,1.0,1.0,1.0355952380952382,,1.0,1.011511627906977,False,0.9848309,98.0,1,2015-12-06
1449360000,2015-12-06,0.8699,0.87,0.825,0.825,Sell,53.50758820864669,0.8399999999999999,0.8549999999999998,0.8099999999999997,0.885,0.7949999999999998,0.8999999999999998,0.7649999999999997,0.9149999999999997,0.7349999999999995,0.8931,False,0.0,False,False,1448496000.0,0.87,0.825,1.0,0,0,0.0,1.0,1.0,0.9483848718243476,1.0,1.0,0.9593023255813955,False,0.9896692,98.0,0,2015-12-07
1449446400,2015-12-07,0.825,0.825,0.7829,0.79,Sell,53.254625121203254,0.7993,0.8157,0.7736000000000001,0.8413999999999998,0.7572000000000001,0.8577999999999999,0.7315000000000002,0.8741999999999999,0.7058000000000002,0.885,False,0.0,False,False,1448496000.0,0.87,0.79,1.0,0,0,0.0,1.0,1.0,0.9575757575757576,1.0,1.0,0.9186046511627909,False,0.9917785,99.0,0,2015-12-08
1449532800,2015-12-08,0.79,0.898,0.7796,0.7946,Sell,45.24011199702533,0.8240666666666666,0.8685333333333333,0.7501333333333332,0.9424666666666667,0.7056666666666666,0.9869333333333333,0.6317333333333331,1.0314,0.5577999999999997,0.8413999999999998,False,0.0,False,False,1448496000.0,0.87,0.7946,1.0,0,0,0.0,1.0,1.0,1.0058227848101264,1.0,1.0,0.9239534883720931,False,0.98860514,98.0,1,2015-12-09
1449619200,2015-12-09,0.7946,0.8533,0.761,0.8051,Buy,38.64639140896521,0.8064666666666667,0.8519333333333333,0.7596333333333334,0.8987666666666666,0.7141666666666667,0.9442333333333333,0.6673333333333334,0.9896999999999999,0.6205000000000002,0.8413999999999998,False,1.5892,False,True,1449619200.0,0.7946,0.8051,1.0132141958217973,0,0,0.00805285678328719,1.0051613390385101,1.0051613390385101,1.0132141958217973,1.0,1.0051613390385101,0.9361627906976746,True,1.0045494,100.0,1,2015-12-10
1449705600,2015-12-10,0.8051,0.8683,0.7797,0.8437,Cash,32.857262297817336,0.8305666666666666,0.8814333333333332,0.7928333333333332,0.9191666666666666,0.7419666666666666,0.9700333333333332,0.7042333333333332,1.0208999999999997,0.6664999999999998,0.8413999999999998,False,1.6102,False,False,1449619200.0,0.7946,0.8437,1.0617920966524037,0,0,0.008247168386609615,1.053544928265794,1.0,1.0479443547385419,1.000516133903851,1.0051613390385101,0.9810465116279072,True,1.0186548,101.0,1,2015-12-11
